GroupLevel_0,GroupLevel_1,GroupLevel_2,Dataset,Size,Shape,DataType
 , , ,radfet2Type,1,"(1,)",int32
 , , ,radmonStatus,1,"(1,)",int32
 , , ,revisionNumber,1,"(1,)",int32
 , , ,revisionType,1,"(1,)",int32
 ,RPADA.BB4.RQNI.412432, , , , , 
 , , ,MEAS.I,1,"(1,)",float32
 , , ,REF.I,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.412344, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.412345, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.412347, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.412349, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.412353, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.430011, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.430029, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.430040, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.430104, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.430130, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.430204, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBH.430309, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.412344, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.412345, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.412347, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.412349, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.412353, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.430011, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.430029, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.430040, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.430104, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.430130, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.430204, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RCIBV.430309, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RQID.412344, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RQID.412347, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RQID.430031, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RQID.430037, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RQID.430109S, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RQIF.412346, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RQIF.430034, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RQIF.430118, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RQIF.430205, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPCAH.TSG4.RQIF.430311, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPPEF.BB4.RBIH.412435, , , , , 
 , , ,MEAS.I,1,"(1,)",float32
 , , ,REF.I,1,"(1,)",float32
 ,RPSKN.TSG4.SNH.430000, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,RPSKN.TSG4.SNJ.430001, , , , , 
 , ,Acquisition, , , , 
 , , ,currentAverage,1,"(1,)",float32
 ,SPS.BCTDC.41435, , , , , 
 , ,Acquisition, , , , 
 , , ,acqDesc,1,"(1,)",|S1
 , , ,acqMsg,1,"(1,)",|S32
 , , ,acqState,1,"(1,)",int32
 , , ,acqTime,1,"(1,)",|S25
 , , ,calMarkerData,1120,"(1120,)",int16
 , , ,cycleTime,1,"(1,)",|S1
 , , ,dumpCycleTime,1,"(1,)",int32
 , , ,dumpInt,1,"(1,)",float32
 , , ,inCheckStatusData,1120,"(1120,)",int16
 , , ,lowIbStatusData,1120,"(1120,)",int16
 , , ,measStamp,940,"(940,)",float32
 , , ,measStamp_unit,1,"(1,)",int32
 , , ,measStamp_unitExponent,1,"(1,)",float32
 , , ,nbOfAdcData,1,"(1,)",int32
 , , ,nbOfMeas,1,"(1,)",int32
 , , ,range1Data,1120,"(1120,)",int16
 , , ,range2Data,1120,"(1120,)",int16
 , , ,range3Data,1120,"(1120,)",int16
 , , ,range4Data,1120,"(1120,)",int16
 , , ,samplingTime,1,"(1,)",int32
 , , ,sbfCycleTime,1,"(1,)",int32
 , , ,sbfIntensity,1,"(1,)",float32
 , , ,selectedRange,1,"(1,)",int32
 , , ,slowCycleTime,1,"(1,)",int32
 , , ,slowExtInt,1,"(1,)",float32
 , , ,superCycleNb,1,"(1,)",int32
 , , ,totalIntensity,940,"(940,)",float32
 , , ,totalIntensity4Ranges,4480,"(4, 1120)",float32
 , , ,totalIntensity_unit,1,"(1,)",int32
 , , ,totalIntensity_unitExponent,1,"(1,)",float32
 , , ,vmodStatus,1,"(1,)",int32
 ,SPS.BCTDC.51895, , , , , 
 , ,Acquisition, , , , 
 , , ,acqDesc,1,"(1,)",|S1
 , , ,acqMsg,1,"(1,)",|S32
 , , ,acqState,1,"(1,)",int32
 , , ,acqTime,1,"(1,)",|S25
 , , ,calMarkerData,1120,"(1120,)",int16
 , , ,cycleTime,1,"(1,)",|S1
 , , ,dumpCycleTime,1,"(1,)",int32
 , , ,dumpInt,1,"(1,)",float32
 , , ,inCheckStatusData,1120,"(1120,)",int16
 , , ,lowIbStatusData,1120,"(1120,)",int16
 , , ,measStamp,940,"(940,)",float32
 , , ,measStamp_unit,1,"(1,)",int32
 , , ,measStamp_unitExponent,1,"(1,)",float32
 , , ,monitorArray1,1120,"(1120,)",int16
 , , ,monitorArray2,1120,"(1120,)",int16
 , , ,nbOfAdcData,1,"(1,)",int32
 , , ,nbOfMeas,1,"(1,)",int32
 , , ,range1Data,1120,"(1120,)",int16
 , , ,range2Data,1120,"(1120,)",int16
 , , ,range3Data,1120,"(1120,)",int16
 , , ,range4Data,1120,"(1120,)",int16
 , , ,samplingTime,1,"(1,)",int32
 , , ,sbfCycleTime,1,"(1,)",int32
 , , ,sbfIntensity,1,"(1,)",float32
 , , ,selectedRange,1,"(1,)",int32
 , , ,slowCycleTime,1,"(1,)",int32
 , , ,slowExtInt,1,"(1,)",float32
 , , ,superCycleNb,1,"(1,)",int32
 , , ,totalIntensity,940,"(940,)",float32
 , , ,totalIntensity4Ranges,4480,"(4, 1120)",float32
 , , ,totalIntensity_unit,1,"(1,)",int32
 , , ,totalIntensity_unitExponent,1,"(1,)",float32
 , , ,vmodStatus,1,"(1,)",int32
 ,SPSBQMSPSv1, , , , , 
 , ,Acquisition, , , , 
 , , ,beamOk,1,(),bool
 , , ,bqmOutputEnable,1,(),bool
 , , ,bunchIntensities,288,"(288,)",float32
 , , ,bunchIntensityMax,1,"(1,)",float32
 , , ,bunchIntensityMaxThr,1,"(1,)",float32
 , , ,bunchIntensityMean,1,"(1,)",float32
 , , ,bunchIntensityMin,1,"(1,)",float32
 , , ,bunchIntensityMinThr,1,"(1,)",float32
 , , ,bunchIntensityModIndex,1,"(1,)",float32
 , , ,bunchIntensityModIndexOk,1,(),bool
 , , ,bunchIntensityModIndexThr,1,"(1,)",float32
 , , ,bunchIntensityOk,1,(),bool
 , , ,bunchIntensityStd,1,"(1,)",float32
 , , ,bunchLengthMax,1,"(1,)",float32
 , , ,bunchLengthMaxThr,1,"(1,)",float32
 , , ,bunchLengthMean,1,"(1,)",float32
 , , ,bunchLengthMin,1,"(1,)",float32
 , , ,bunchLengthMinThr,1,"(1,)",float32
 , , ,bunchLengthOk,1,(),bool
 , , ,bunchLengthStd,1,"(1,)",float32
 , , ,bunchLengthStdOk,1,(),bool
 , , ,bunchLengthStdThr,1,"(1,)",float32
 , , ,bunchLengths,288,"(288,)",float32
 , , ,bunchPeakMax,1,"(1,)",float32
 , , ,bunchPeakMaxThr,1,"(1,)",float32
 , , ,bunchPeakMean,1,"(1,)",float32
 , , ,bunchPeakMin,1,"(1,)",float32
 , , ,bunchPeakMinThr,1,"(1,)",float32
 , , ,bunchPeakOk,1,(),bool
 , , ,bunchPeakStd,1,"(1,)",float32
 , , ,bunchPeakStdOk,1,(),bool
 , , ,bunchPeakStdThr,1,"(1,)",float32
 , , ,bunchPeaks,288,"(288,)",float32
 , , ,bunchPositions,288,"(288,)",float32
 , , ,diagnostic,1,"(1,)",int16
 , , ,doubletIntensitySplitOk,1,(),bool
 , , ,doublets,1,(),bool
 , , ,filledBuckets,288,"(288,)",int32
 , , ,firstBunchPositionOk,1,(),bool
 , , ,isTrailingDoublet,0,"(0,)",Custom Datatype
 , , ,nAllowedLongBunches,1,"(1,)",int16
 , , ,nBunches,1,"(1,)",int32
 , , ,nBunchesMax,1,"(1,)",int16
 , , ,nBunchesMaxOk,1,(),bool
 , , ,nBunchesRamp,1,"(1,)",int32
 , , ,nSatellitesIntensity,1,"(1,)",int32
 , , ,nSatellitesMidBucket,1,"(1,)",int32
 , , ,nTooLongBunches,1,"(1,)",int16
 , , ,nWarningMessages,1,"(1,)",int16
 , , ,oscillationPercentDeltaMax,1,"(1,)",float32
 , , ,oscillationPercentDeltaMaxThr,1,"(1,)",float32
 , , ,oscillationPercentDeltas,1,"(1,)",float32
 , , ,oscillationPercentPeakMax,1,"(1,)",float32
 , , ,oscillationPercentPeakMaxThr,1,"(1,)",float32
 , , ,patternOk,1,(),bool
 , , ,satelliteBucketsIntensity,4620,"(4620,)",float32
 , , ,satelliteBucketsMid,4620,"(4620,)",float32
 , , ,satellitesIntensityThr,1,"(1,)",float32
 , , ,satellitesMidBucketThr,1,"(1,)",float32
 , , ,satellitesOk,1,(),bool
 , , ,stabilityOk,1,(),bool
 , , ,tgmNLSQCTL,1,(),bool
 , , ,tgmSCNUM,1,"(1,)",int32
 , , ,verifyPattern,1,(),bool
 , , ,warningMessages,50,"(50,)",|S48
 , , ,wrongBuckets,288,"(288,)",int32
 , ,RawWavesFTAcquisition, , , , 
 , , ,rawWaveFT,80000,"(80000,)",int16
 ,SR.AWGAMP, , , , , 
 , ,Status, , , , 
 , , ,position,1,"(1,)",int64
 ,SR.AWGPH, , , , , 
 , ,Status, , , , 
 , , ,position,1,"(1,)",int64
 ,SR.AWINTLK, , , , , 
 , ,PhaseAcq, , , , 
 , , ,phaseShifter,1,"(1,)",float32
 ,SR.SCOPE27.CH01, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,320,"(1, 320)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE28.CH01, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,320,"(1, 320)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE29.CH01, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,320,"(1, 320)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE30.CH01, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,4000,"(1, 4000)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE30.CH02, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,4000,"(1, 4000)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE43.CH01, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,352,"(1, 352)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE43.CH02, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,352,"(1, 352)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE43.CH03, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,352,"(1, 352)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE43.CH04, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,352,"(1, 352)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE43.CH05, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,352,"(1, 352)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE43.CH06, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,252,"(1, 252)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE43.CH07, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,352,"(1, 352)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE43.CH08, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,252,"(1, 252)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE45.CH01, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,352,"(1, 352)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE45.CH02, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,352,"(1, 352)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE45.CH03, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,352,"(1, 352)",int16
 , , ,value_units,1,"(1,)",|S1
 ,SR.SCOPE45.CH04, , , , , 
 , ,Acquisition, , , , 
 , , ,CTime,1,"(1,)",int32
 , , ,cycleTag,1,"(1,)",int32
 , , ,diffStamps,1,"(1,)",int64
 , , ,firstSampleTime,1,"(1,)",float32
 , , ,offset,1,"(1,)",float32
 , , ,sampleInterval,1,"(1,)",float32
 , , ,sensitivity,1,"(1,)",float32
 , , ,triggerError,1,"(1,)",float32
 , , ,triggerStamp,1,"(1,)",int64
 , , ,value,352,"(1, 352)",int16
 , , ,value_units,1,"(1,)",|S1
 ,Sps2AwakeSynchro, , , , , 
 , ,ProtonDelayNs, , , , 
 , , ,delay,1,"(1,)",float64
 ,TCC4.AWAKE-SCOPE-CTR.CH1, , , , , 
 , ,FileRead, , , , 
 , , ,channelRead,1,"(1,)",int32
 , , ,dataAxis,5000,"(5000,)",float64
 , , ,dataValue,5000,"(5000,)",float64
 , , ,fileCount,1,"(1,)",int32
 , , ,fileName,1,"(1,)",|S29
 , , ,fileReadDelay,1,"(1,)",int64
 , , ,fileTime,1,"(1,)",int64
 , , ,headerName,100,"(100,)",|S17
 , , ,headerValue,100,"(100,)",|S16
 ,TCC4.AWAKE-SCOPE-CTR.CH2, , , , , 
 , ,FileRead, , , , 
 , , ,channelRead,1,"(1,)",int32
 , , ,dataAxis,5000,"(5000,)",float64
 , , ,dataValue,5000,"(5000,)",float64
 , , ,fileCount,1,"(1,)",int32
 , , ,fileName,1,"(1,)",|S29
 , , ,fileReadDelay,1,"(1,)",int64
 , , ,fileTime,1,"(1,)",int64
 , , ,headerName,100,"(100,)",|S17
 , , ,headerValue,100,"(100,)",|S16
 ,TCC4.AWAKE-SCOPE-CTR.CH3, , , , , 
 , , ,FileRead,1,(),|S166
 ,TCC4.AWAKE-SCOPE-CTR.CH4, , , , , 
 , ,FileRead, , , , 
 , , ,channelRead,1,"(1,)",int32
 , , ,dataAxis,2000,"(2000,)",float64
 , , ,dataValue,2000,"(2000,)",float64
 , , ,fileCount,1,"(1,)",int32
 , , ,fileName,1,"(1,)",|S29
 , , ,fileReadDelay,1,"(1,)",int64
 , , ,fileTime,1,"(1,)",int64
 , , ,headerName,100,"(100,)",|S17
 , , ,headerValue,100,"(100,)",|S16
 ,TSG40.AWAKE-LASER-CORRELATOR, , , , , 
 , ,FileRead, , , , 
 , , ,dataAcquisitionTime,1,"(1,)",int64
 , , ,dataAmplitude,768,"(768,)",float64
 , , ,dataDelay,768,"(768,)",float64
 , , ,dataImage,442368,"(768, 576)",int16
 , , ,fileCount,1,"(1,)",int32
 , , ,fileName,1,"(1,)",|S17
 , , ,fileTime,1,"(1,)",int64
 , , ,fittedAmplitude,768,"(768,)",float64
 , , ,pulseWidth,1,"(1,)",float64
 ,TSG41.AWAKE-CTR-PHOTOMIXER, , , , , 
 , ,NameAcquisition, , , , 
 , , ,nameValue,100,"(100,)",|S45
 , ,ValueAcquisition, , , , 
 , , ,floatValue,100,"(100,)",float64
 ,TSG41.AWAKE-CTR-WR4-WR8-MIXERS, , , , , 
 , ,NameAcquisition, , , , 
 , , ,nameValue,100,"(100,)",|S19
 , ,ValueAcquisition, , , , 
 , , ,floatValue,100,"(100,)",float64
 ,TSG41.AWAKE-CTRHET-VDI, , , , , 
 , ,FileRead, , , , 
 , , ,fileCount,1,"(1,)",int32
 , , ,fileName,1,"(1,)",|S42
 , , ,fileReadDelay,1,"(1,)",int64
 , , ,fileTime,1,"(1,)",int64
 , , ,floatValue,1,"(1,)",float64
 , , ,integerValue,1,"(1,)",int64
 , , ,stringValue,1,"(1,)",|S4
 ,TSG41.AWAKE-CTRHET-WR8, , , , , 
 , , ,FileRead,1,(),|S166
 ,TSG41.AWAKE-DENSITY-DATA, , , , , 
 , ,NameAcquisition, , , , 
 , , ,nameValue,100,"(100,)",|S18
 , ,ValueAcquisition, , , , 
 , , ,floatValue,100,"(100,)",float64
 ,TSG41.AWAKE-GUI-SUPPORT, , , , , 
 , ,NameAcquisition, , , , 
 , , ,nameValue,100,"(100,)",|S20
 , ,ValueAcquisition, , , , 
 , , ,floatValue,100,"(100,)",float64
 ,TSG41.AWAKE-LASER-DATA, , , , , 
 , ,NameAcquisition, , , , 
 , , ,nameValue,100,"(100,)",|S55
 , ,ValueAcquisition, , , , 
 , , ,floatValue,100,"(100,)",float64
 ,TSG41.AWAKE-TWO-SCREEN-MEAS, , , , , 
 , ,NameAcquisition, , , , 
 , , ,nameValue,100,"(100,)",|S19
 , ,ValueAcquisition, , , , 
 , , ,floatValue,100,"(100,)",float64
 ,TSG41.AWAKE-XMPP-FFTFREQ, , , , , 
 , ,NameAcquisition, , , , 
 , , ,nameValue,100,"(100,)",|S16
 , ,ValueAcquisition, , , , 
 , , ,floatValue,100,"(100,)",float64
 ,TT41.AWAKE-PLASMA-SPECTRO-DOWN, , , , , 
 , ,FileRead, , , , 
 , , ,dataAcquisitionTime,1,"(1,)",int64
 , , ,dataAxis,3648,"(3648,)",float64
 , , ,dataValue,3648,"(3648,)",float64
 , , ,fileCount,1,"(1,)",int32
 , , ,fileName,1,"(1,)",|S44
 , , ,fileReadDelay,1,"(1,)",int64
 , , ,fileTime,1,"(1,)",int64
 , , ,headerName,11,"(11,)",|S32
 , , ,headerValue,11,"(11,)",|S28
 , , ,nPixels,1,"(1,)",int32
 ,TT41.AWAKE-PLASMA-SPECTRO-UP, , , , , 
 , ,FileRead, , , , 
 , , ,dataAcquisitionTime,1,"(1,)",int64
 , , ,dataAxis,3648,"(3648,)",float64
 , , ,dataValue,3648,"(3648,)",float64
 , , ,fileCount,1,"(1,)",int32
 , , ,fileName,1,"(1,)",|S43
 , , ,fileReadDelay,1,"(1,)",int64
 , , ,fileTime,1,"(1,)",int64
 , , ,headerName,11,"(11,)",|S32
 , , ,headerValue,11,"(11,)",|S28
 , , ,nPixels,1,"(1,)",int32
 ,TT41.AWAKE-eBLM-pico1, , , , , 
 , ,FileRead, , , , 
 , , ,FileTime,1,"(1,)",int64
 , , ,dataAcquisitionTime,1,"(1,)",int64
 , , ,dataAxis,785,"(785,)",float64
 , , ,dataValue1,785,"(785,)",float64
 , , ,dataValue2,785,"(785,)",float64
 , , ,dataValue3,785,"(785,)",float64
 , , ,dataValue4,785,"(785,)",float64
 , , ,fileCount,1,"(1,)",int32
 , , ,fileName,1,"(1,)",|S17
 , , ,fileReadDelay,1,"(1,)",int64
 , , ,headerName,100,"(100,)",|S1
 , , ,headerValue,100,"(100,)",|S1
 , , ,nPixels,1,"(1,)",int32
 ,TT41.AWAKE-eBLM-pico2, , , , , 
 , ,FileRead, , , , 
 , , ,FileTime,1,"(1,)",int64
 , , ,dataAcquisitionTime,1,"(1,)",int64
 , , ,dataAxis,785,"(785,)",float64
 , , ,dataValue1,785,"(785,)",float64
 , , ,dataValue2,785,"(785,)",float64
 , , ,dataValue3,785,"(785,)",float64
